actorID,movieID,relationship
8,0,[Emil]
4,0,[Agent Smith]
3,0,[Morpheus]
2,0,[Trinity]
1,0,[Neo]
4,9,[Agent Smith]
3,9,[Morpheus]
2,9,[Trinity]
1,9,[Neo]
4,10,[Agent Smith]
3,10,[Morpheus]
2,10,[Trinity]
1,10,[Neo]
13,11,[John Milton]
12,11,[Mary Ann Lomax]
1,11,[Kevin Lomax]
25,15,[Pfc. Louden Downey]
23,15,[Lt. Sam Weinberg]
24,15,[Lt. Col. Matthew Andrew Markinson]
28,15,[Man in Bar]
22,15,[Cpl. Carl Hammaker]
26,15,[Dr. Stone]
21,15,[Cpl. Jeffrey Barnes]
20,15,[Lt. Jonathan Kendrick]
19,15,[Capt. Jack Ross]
18,15,[Lt. Cdr. JoAnne Galloway]
17,15,[Col. Nathan R. Jessup]
16,15,[Lt. Daniel Kaffee]
31,29,[Iceman]
34,29,[Carole]
33,29,[Viper]
30,29,[Charlie]
16,29,[Maverick]
32,29,[Goose]
40,37,[Frank Cushman]
42,37,[Laurel Boyd]
41,37,[Bob Sugar]
22,37,[Rod Tidwell]
44,37,[Ray Boyd]
38,37,[Dorothy Boyd]
39,37,[Avery Bishop]
43,37,[Marcee Tidwell]
16,37,[Jerry Maguire]
40,46,[Vern Tessio]
47,46,[Chris Chambers]
51,46,[Mr. Lachance]
49,46,[Gordie Lachance]
20,46,[Ace Merrill]
50,46,[Denny Lachance]
48,46,[Teddy Duchamp]
53,52,[Carol Connelly]
17,52,[Melvin Udall]
22,52,[Frank Sachs]
54,52,[Simon Bishop]
60,56,[Chris Nielsen]
22,56,[Albert Lewis]
58,56,[The Tracker]
59,56,[The Face]
57,56,[Annie Collins-Nielsen]
63,62,[Ishmael Chambers]
64,62,[Kazuo Miyamoto]
58,62,[Nels Gudmundsson]
65,62,[Judge Fielding]
71,67,[Joe Fox]
68,67,[Patricia Eden]
54,67,[Frank Navasky]
34,67,[Kathleen Kelly]
70,67,[George Pappas]
69,67,[Kevin Jackson]
34,73,[Annie Reed]
76,73,[Greg]
71,73,[Sam Baldwin]
75,73,[Walter]
74,73,[Suzy]
77,73,[Becky]
71,78,[Joe Banks]
80,78,[Baw]
34,78,"[DeDe,Angelica Graynamore,Patricia Graynamore]"
83,81,[Marie]
82,81,[Harry Burns]
84,81,[Jess]
34,81,[Sally Albright]
71,85,[Mr. White]
86,85,[Faye Dolan]
12,85,[Tina]
88,87,[Annabelle Farrell]
1,87,[Shane Falco]
90,87,[Clifford Franklin]
89,87,[Jimmy McGinty]
94,92,[Squad Leader]
70,92,[Duane]
93,92,[Dieter Dengler]
51,92,[Admiral]
60,95,[Armand Goldman]
80,95,[Albert Goldman]
89,95,[Sen. Kevin Keeley]
99,97,[Bill Munny]
89,97,[Little Bill Daggett]
98,97,[English Bob]
103,100,[J-Bone]
102,100,[Jane]
1,100,[Johnny Mnemonic]
101,100,[Takahashi]
71,105,"[Zachry,Dr. Henry Goose,Isaac Sachs,Dermot Hoggins]"
107,105,"[Vyvyan Ayrs,Captain Molyneux,Timothy Cavendish]"
106,105,"[Luisa Rey,Jocasta Ayrs,Ovid,Meronym]"
4,105,"[Bill Smoke,Haskell Moore,Tadeusz Kesselring,Nurse Noakes,Boardman Mephi,Old Georgie]"
71,111,[Dr. Robert Langdon]
112,111,[Sir Leight Teabing]
113,111,[Sophie Neveu]
114,111,[Silas]
119,116,[High Chancellor Adam Sutler]
118,116,[Eric Finch]
117,116,[Evey Hammond]
4,116,[V]
120,116,[Dascomb]
122,121,[Speed Racer]
127,121,[Taejo Togokahn]
126,121,[Trixie]
120,121,[Cass Jones]
124,121,[Mom]
123,121,[Pops]
125,121,[Racer X]
127,128,[Raizo]
120,128,[Ryan Maslow]
64,128,[Takeshi]
129,128,[Mika Coretti]
133,130,"[""Wild Bill"" Wharton]"
42,130,[Jan Edgecomb]
135,130,[Melinda Moores]
65,130,[Warden Hal Moores]
71,130,[Paul Edgecomb]
131,130,[John Coffey]
132,130,"[Brutus ""Brutal"" Howell]"
134,130,[Burt Hammersmith]
133,137,"[James Reston, Jr.]"
139,137,[David Frost]
138,137,[Richard Nixon]
140,137,[Bob Zelnick]
19,137,[Jack Brennan]
143,141,"[Peter ""Pete"" Connelly]"
142,141,"[Robert ""Bobby"" Ciaro]"
24,141,[Frank Fitzsimmons]
17,141,[Hoffa]
71,144,[Jim Lovell]
145,144,[Gene Kranz]
134,144,[Ken Mattingly]
19,144,[Jack Swigert]
146,144,[Fred Haise]
53,147,[Dr. Jo Harding]
146,147,[Bill Harding]
148,147,"[Dustin ""Dusty"" Davis]"
94,147,[Eddie]
53,150,[Kelly Frears]
71,150,[Chuck Noland]
142,152,[Martini]
17,152,[Randle McMurphy]
1,154,[Julian Mercer]
155,154,[Erica Barry]
17,154,[Harry Sanborn]
60,157,[Andrew Marin]
140,157,[Rupert Burns]
160,159,[Joanne Herring]
71,159,[Rep. Charlie Wilson]
148,159,[Gust Avrakotos]
71,161,"[Hero Boy,Father,Conductor,Hobo,Scrooge,Santa Claus]"
71,162,[Jimmy Dugan]
163,162,"[""All the Way"" Mae Mordabito]"
77,162,[Doris Murphy]
164,162,[Dottie Hinson]
146,162,[Bob Hinson]
165,162,[Kit Keller]